Id,MSSubClass,LotShape,LandContour,LandSlope,BldgType,HouseStyle,OverallQual,OverallCond,LotFrontage,LotArea,GarageArea,GrLivArea,TotalBsmtSF,SalePrice
171,1-1/2 STORY FINISHED ALL AGES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Above Average,NA,12358,660,1382,720,128500
172,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,141,31770,528,1656,1080,215000
173,2-STORY PUD - 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Townhouse End Unit,Two story,Good,Good,44,5306,504,1767,1064,239000
174,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,80,10197,504,1362,1362,163000
175,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,47,12416,616,1651,1606,184000
176,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Good,84,12615,576,2158,1202,243000
177,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,97,10029,521,2060,1151,211000
178,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Average,NA,13650,451,1920,1052,172500
179,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Excellent,Average,63,17423,1166,2234,2216,501837
180,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,60,8520,480,968,968,100000
181,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,Above Average,Average,NA,2117,440,1525,756,177000
182,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Above Average,54,7588,216,1802,793,200100
183,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,60,9060,252,1340,0,120000
184,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Good,Average,63,11426,484,2082,1362,200000
185,1-1/2 STORY FINISHED ALL AGES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Very Good,92,7438,576,1252,504,127000
186,2-1/2 STORY ALL AGES,Moderately Irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two and one-half story: 2nd level finished,Very Excellent,Excellent,90,22950,840,3608,1107,475000
187,SPLIT OR MULTI-LEVEL,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Good,Average,NA,9947,497,1217,1188,173000
188,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Good,60,10410,180,1656,660,135000
189,DUPLEX - ALL STYLES AND AGES,Regular,Banked - Quick and significant rise from street grade to building,Gentle slope,Duplex,Split Foyer,Average,Average,64,7018,528,1224,1086,153337
190,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Very Good,Average,41,4923,682,1593,1593,286000
191,2-STORY 1945 & OLDER,Regular,Banked - Quick and significant rise from street grade to building,Moderate Slope,Single-family Detached,Two story,Very Good,Very Good,70,10570,440,2727,853,315000
192,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Excellent,NA,7472,484,1479,725,184000
193,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,68,9017,666,1431,1431,192000
194,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,Good,Average,24,2522,380,1709,970,130000
195,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,60,7180,352,864,864,127000
196,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,Above Average,Above Average,24,2280,440,1456,855,148500
197,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,79,9416,786,1726,1726,311872
198,2-1/2 STORY ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Below Average,174,25419,795,3112,1360,235000
199,2-1/2 STORY ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two and one-half story: 2nd level finished,Above Average,Above Average,92,5520,0,2229,755,104000
200,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,76,9591,856,1713,1713,274900
201,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Average,80,8546,440,1121,1121,140000
202,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Above Average,75,10125,473,1279,1196,171500
203,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Above Average,50,7000,398,1310,617,112000
204,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Above Average,Average,NA,4438,420,848,848,149000
205,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Good,50,3500,240,1284,720,110000
206,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,99,11851,500,1442,1424,180500
207,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,40,13673,349,1696,1140,143900
208,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Average,NA,12493,312,1100,1100,141000
209,2-STORY 1946 & NEWER,Slightly irregular,Depression,Moderate Slope,Single-family Detached,Two story,Good,Average,NA,14364,454,2062,1157,277000
210,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Good,75,8250,504,1092,1092,145000
211,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,67,5604,0,864,864,98000
212,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,83,10420,460,1212,1212,186000
213,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,72,8640,644,1852,900,252678
214,1-STORY 1946 & NEWER ALL STYLES,Moderately Irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,43,13568,576,990,990,156000
215,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Good,NA,10900,299,1392,689,161750
216,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,72,10011,447,1236,1070,134450
217,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,65,8450,484,1436,1436,210000
218,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Below Average,Below Average,57,9906,210,1328,686,107000
219,1-1/2 STORY FINISHED ALL AGES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Good,Excellent,NA,15660,431,1954,798,311500
220,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Good,Average,43,3010,438,1248,1248,167240
221,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,73,8990,675,1498,1498,204900
222,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,NA,8068,390,2267,1010,200000
223,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Above Average,85,11475,434,1552,713,179900
224,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Above Average,70,10500,576,864,864,97000
225,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Excellent,Average,103,13472,968,2392,2392,386250
226,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,Average,Average,21,1680,280,1302,630,112000
227,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,82,9950,721,2520,1203,290000
228,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,Above Average,Above Average,21,1869,280,987,483,106000
229,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,70,8521,336,912,912,125000
230,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Good,Average,43,3182,430,1555,1373,192500
231,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Above Average,73,8760,312,1194,1194,148000
232,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,174,15138,810,2794,1462,403000
233,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,Above Average,Average,21,1680,288,987,483,94500
234,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,75,10650,308,894,894,128200
235,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,NA,7851,440,1960,860,216500
236,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,Two story,Above Average,Fair,21,1680,264,987,483,89500
237,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,65,8773,494,1414,1414,185500
238,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Good,NA,9453,457,1744,996,194500
239,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,93,12030,818,1694,1694,318000
240,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Below Average,52,8741,220,1487,735,113000
241,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,75,9000,750,1566,1566,262500
242,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Excellent,40,3880,0,866,686,110500
243,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Below Average,63,5000,352,1440,540,79000
244,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,Two story,Above Average,Above Average,75,10762,288,1217,626,120000
245,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,NA,8880,463,2110,948,205000
246,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,80,10400,604,1872,1845,241500
247,2 FAMILY CONVERSION - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Two-family Conversion; originally built as one-family dwelling,Two story,Above Average,Very Good,69,9142,440,1928,1020,137000
248,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,75,11310,451,1375,1367,140000
249,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,72,11317,500,1668,840,180000
250,1-1/2 STORY FINISHED ALL AGES,Moderately Irregular,Depression,Severe Slope,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Good,NA,159000,389,2144,1444,277000
251,1-STORY 1945 & OLDER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Fair,Poor,55,5350,0,1306,728,76500
252,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Slightly irregular,Hillside - Significant slope from side to side,Moderate Slope,Townhouse End Unit,One story,Very Good,Average,44,4750,538,1625,1573,235000
253,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,65,8366,520,1640,798,173000
254,SPLIT OR MULTI-LEVEL,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Above Average,Good,85,9350,309,1302,1302,158000
255,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,70,8400,294,1314,1314,145000
256,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,66,8738,429,2291,975,230000
257,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,64,8791,673,1728,864,207500
258,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,68,8814,660,1604,1604,220000
259,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,80,12435,564,1792,963,231500
260,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,70,12702,308,882,0,97000
261,SPLIT OR MULTI-LEVEL,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Above Average,Average,120,19296,884,1382,1362,176000
262,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,69,9588,868,2574,1482,276000
263,SPLIT OR MULTI-LEVEL,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Above Average,Good,88,8471,492,1212,506,151000
264,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Good,50,5500,484,1316,926,130000
265,1-STORY 1945 & OLDER,Irregular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,One story,Average,Average,30,5232,504,764,680,73000
266,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Above Average,78,12090,576,1422,1422,175500
267,2-STORY 1946 & NEWER,Slightly irregular,Hillside - Significant slope from side to side,Gentle slope,Single-family Detached,Two story,Above Average,Average,70,11207,413,1511,802,185000
268,2-1/2 STORY ALL AGES,Regular,Banked - Quick and significant rise from street grade to building,Moderate Slope,Single-family Detached,Two and one-half story: 2nd level finished,Average,Very Good,60,8400,240,2192,720,179500
269,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,71,6900,924,778,740,120500
270,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Good,NA,7917,504,1113,1143,148000
271,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,84,10728,1053,1939,1095,266000
272,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Depression,Severe Slope,Single-family Detached,One story,Good,Good,73,39104,439,1363,1385,241500
273,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Good,92,11764,671,2270,1152,290000
274,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Above Average,80,9600,338,1632,1240,139000
275,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,76,8314,264,816,816,124500
276,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Good,Good,55,7264,672,1548,952,205000
